-159.508,751.063,-12.5664
811,-7.17476,15.5452,-1.79958
812,-5.49642,15.6429,-1.49935
813,-7.2575,15.6881,0.380455
814,-5.54629,15.7573,0.190775
815,-7.20836,15.6132,-1.17954
816,-6.34741,15.643,-1.33436
817,-8.15816,15.6585,0.485045
818,-6.3969,15.7177,0.285628
819,-8.11883,15.5937,-1.10497
820,-22.3926,72.2963,-4.2826
822,-6.40914,15.7964,0.675824
823,-7.27056,15.742,-0.789472
824,-6.39999,15.8015,-0.874141
827,-8.16114,15.6624,-0.704987
828,-5.55183,15.7998,-0.559135
829,-9.14599,20.2316,5.85439
830,-9.3257,23.9858,4.64566
831,-7.26293,15.7207,-0.389488
832,-2.07476,3.58096,-1.79887
833,-8.10346,15.7111,-0.304477
834,-6.33238,15.7702,-0.473836
835,-3.22281,5.92192,-1.79794
836,-4.16843,9.57345,-2.0215
837,-7.22518,15.7893,0.000970031
838,-5.48409,15.7885,-0.178763
839,-5.61676,11.8545,-1.98254
840,-5.95439,14.7348,-1.97505
841,-8.13571,15.7698,0.085535
