-156.489,751.847,-12.5651
784,-7.3941,15.6071,-1.33847
785,-9.27856,15.6174,0.53711
786,-7.4391,15.7255,0.31179
787,-9.24345,15.549,-1.09307
788,-6.52286,15.6658,-0.940981
790,-7.46781,15.7951,0.721947
791,-8.37231,15.7277,-0.775459
792,-7.46249,15.7767,-0.858095
795,-9.30212,15.6586,-0.682785
796,-6.57157,15.7854,-0.550714
797,-11.1843,21.6235,6.47884
798,-11.4046,25.1653,5.02307
799,-8.35113,15.6972,-0.365551
800,-2.27898,3.4918,-1.77583
801,-9.22092,15.6481,-0.273033
802,-7.37136,15.7362,-0.458403
803,-3.51647,5.66318,-1.74998
804,-4.63317,9.16465,-1.96314
805,-8.31986,15.7768,0.0344394
806,-6.50043,15.7749,-0.160933
807,-6.18067,11.2463,-1.90647
808,-6.59762,13.8768,-1.87258
809,-9.26965,15.7278,0.127193
810,-7.37018,15.7358,-0.0584051
811,-8.20559,15.5185,-1.80617
812,-6.45459,15.6263,-1.51123
813,-8.25884,15.6663,0.424149
814,-6.48937,15.7446,0.209006
815,-8.24361,15.5979,-1.16597
816,-7.3241,15.6071,-1.33868
817,-9.20855,15.6273,0.536913
818,-7.36911,15.7154,0.311573
819,-9.17344,15.5589,-1.09327
820,-6.46285,15.6757,-0.941148
822,-7.39785,15.7851,0.71173
823,-8.29233,15.7076,-0.775716
824,-7.39248,15.7867,-0.858292
827,-9.23211,15.6685,-0.682981
828,-6.51157,15.7854,-0.550891
829,-11.1142,21.6934,6.4887
830,-11.3344,25.2652,5.04296
831,-8.29111,15.7172,-0.365708
832,-2.25897,3.50178,-1.77588
833,-9.17089,15.6781,-0.27315
834,-7.33129,15.7962,-0.458461
835,-3.50642,5.70316,-1.74997
836,-4.60317,9.16462,-1.96323
837,-8.24986,15.7767,0.0342328
838,-6.44043,15.7749,-0.16111
839,-6.12066,11.2563,-1.90663
840,-6.54763,13.8667,-1.87273
841,-9.19963,15.7477,0.127007
842,-7.3401,15.8058,-0.0584231
843,-8.13557,15.5284,-1.80636
844,-6.39457,15.6362,-1.51139
845,-8.20881,15.6863,0.424022
